id	Methanosphaera	Methanobrevibacter	Candidatus_Methanomethylophilus	uncultured	Pla4_lineage	Pirellula	CPla-4_termite_group	p-1088-a5_gut_group	Endomicrobium	Elusimicrobium	Absconditabacteriales_(SR1)	DEV114	LD1-PB3	WCHB1-41	Gastranaerophilales	Flexilinea	Pyramidobacter	Synergistes	Fibrobacter	Phoenicibacter	uncultured	Raoultibacter	Atopobium	uncultured	MVP-15	uncultured	Deinococcus	Corynebacterium	Microbacteriaceae Family	Brachybacterium	Arthrobacter	uncultured	uncultured	Bifidobacterium	Mailhella	Desulfovibrio	Bilophila	Desulfuromonadaceae	uncultured	d__Bacteria Kingdom	uncultured	Mitochondria	Sphingomonas	Desulfobulbus	Campylobacter	Suttonella	Pseudomonas	Pantoea	Lautropia	Parasutterella	Sutterella	Rhodocyclaceae Family	Janthinobacterium	uncultured	Kingella	Neisseria	Alysiella	Pasteurellaceae Family	Gallibacterium	Actinobacillus	Bibersteinia	Ruminobacter	Succinivibrio	uncultured	Succinatimonas	Anaerobiospirillum	Succinimonas	Succinivibrionaceae_UCG-001	Succinivibrionaceae_UCG-002	Moraxella	Psychrobacter	Alkanindiges	Acinetobacter	Stenotrophomonas	Megasphaera	Veillonellaceae_UCG-001	Schwartzia	Megamonas	uncultured	Anaerovibrio	Selenomonas	Phascolarctobacterium	WPS-2	Succiniclasticum	Streptococcus	Enterococcus	Jeotgalicoccus	Staphylococcus	Anaerofustis	Eubacterium	Clostridia Class	Christensenellaceae_R-7_group	0319-6G20	RF39	Izemoplasmataceae	Izemoplasmatales	NED5E9	Acholeplasmataceae Family	Anaeroplasma	Sharpea	Erysipelotrichaceae_UCG-002	UCG-004	Solobacterium	Erysipelotrichaceae_UCG-009	[Anaerorhabdus]_furcosa_group	uncultured	Erysipelothrix	Faecalicoccus	Catenisphaera	uncultured	JGI_0000069-P22	Fusobacterium	Caviibacter	vadinBE97	Victivallaceae	Chryseobacterium	Bergeyella	Rikenellaceae_RC9_gut_group	U29-B03	SP3-e08	Rikenellaceae Family	uncultured	F082	uncultured	uncultured	hoa5-07d05_gut_group	Bacteroidales Order	Bacteroidales_RF16_group	p-251-o5	Butyricimonas	Odoribacter	Porphyromonas	Alloprevotella	Prevotellaceae_Ga6A1_group	Prevotellaceae_UCG-004	Prevotellaceae_NK3B31_group	uncultured	Prevotellaceae Family	Prevotellaceae_YAB2003_group	Prevotella_7	Prevotellaceae_UCG-001	Prevotella	Paraprevotella	Bacteroidales_UCG-001	uncultured	Prevotellaceae	Prevotellaceae_UCG-003	Bacteroides	Parabacteroides	Barnesiella	Muribaculaceae	Bacteroidia Class	Bacteroidetes_BD2-2	Alistipes	Bacteroidales_BS11_gut_group	M2PB4-65_termite_group	CAP-aah99b04	Flavobacterium	M2PT2-76_termite_group	Treponema	Sediminispirochaeta	Mycoplasma	Paeniclostridium	Romboutsia	Amnipila	Anaerovorax	Family_XIII_UCG-001	Mogibacterium	[Eubacterium]_nodatum_group	Anaerovoracaceae Family	Family_XIII_AD3011_group	uncultured	uncultured	Clostridium_sensu_stricto_1	Clostridia_vadinBB60_group	Clostridia_UCG-014	Firmicutes Phylum	UCG-010	Monoglobus	Hungateiclostridiaceae Family	Ruminiclostridium	Saccharofermentans	Oscillospirales Order	UCG-005	UCG-007	Papillibacter	Oscillospira	Oscillibacter	UCG-002	UCG-012	Colidextribacter	V9D2013_group	uncultured	Oscillospiraceae Family	NK4A214_group	Ruminococcaceae	[Clostridium]_methylpentosum_group	Candidatus_Soleaferrea	Subdoligranulum	Ruminococcus	[Eubacterium]_coprostanoligenes_group	Incertae_Sedis	Ruminococcaceae Family	uncultured	CAG-352	Tyzzerella	Defluviitaleaceae_UCG-011	Lachnospiraceae_UCG-010	uncultured	Lachnospiraceae_UCG-001	Anaerosporobacter	Lachnospiraceae_UCG-006	Lachnospiraceae	[Eubacterium]_xylanophilum_group	Coprococcus	Lachnospiraceae_NC2004_group	[Eubacterium]_ruminantium_group	Lachnospira	[Eubacterium]_eligens_group	Lachnospiraceae_UCG-008	[Bacteroides]_pectinophilus_group	[Eubacterium]_hallii_group	Blautia	Lachnospiraceae_FE2018_group	Acetitomaculum	Lachnospiraceae_UCG-002	[Eubacterium]_cellulosolvens_group	Lachnospiraceae_ND3007_group	[Ruminococcus]_gauvreauii_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_XPB1014_group	Lachnospiraceae_AC2044_group	Roseburia	Moryella	Lachnospiraceae_NK3A20_group	FD2005	XBB1006	[Eubacterium]_oxidoreducens_group	Shuttleworthia	[Eubacterium]_ventriosum_group	Howardella	Lachnospiraceae Family	Pseudobutyrivibrio	Lachnospiraceae_FCS020_group	probable_genus_10	Lachnoclostridium	Butyrivibrio	Syntrophococcus	Oribacterium	Marvinbryantia	Lachnospiraceae_UCG-009
19LIB028-19MET503	0	240	0	82	0	0	0	124	0	0	0	0	0	10	10	0	9	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	8	0	0	0	0	0	0	0	3	18	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	8	0	0	208	0	0	0	0	0	0	0	0	0	0	124	1044	0	0	275	0	0	0	0	0	0	862	455	0	132	0	0	0	0	19	159	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	1739	163	0	0	0	1579	0	0	0	0	0	0	0	0	0	0	92	681	219	47	0	0	0	1462	10661	0	0	176	33	594	0	0	0	1212	0	0	0	0	0	0	0	0	1267	0	0	0	0	7	17	0	214	8	0	78	21	0	0	0	797	0	51	0	0	0	179	0	426	45	16	0	0	341	0	0	0	0	35	334	5	0	0	0	580	36	0	134	0	2703	0	127	0	252	0	22	0	0	0	10	0	18	0	0	44	0	0	0	0	484	0	6	0	123	56	0	29	0	109	392	73	0	0	15	0	0	243	146	27	0	11	666	0	20	13	0
19LIB028-19MET504	0	0	0	0	0	0	0	14	0	13	132	0	0	66	264	0	8	0	1070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	16	0	0	0	0	0	0	0	0	10	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	539	0	0	0	0	6921	0	0	0	0	0	0	0	0	0	0	140	18	389	0	0	768	0	0	0	0	0	0	0	410	0	51	0	0	11	0	136	0	601	284	0	64	6	0	0	0	0	0	0	0	0	22	0	0	0	789	15	0	0	0	555	0	0	0	0	346	0	0	0	0	4	181	112	572	732	28	1187	623	443	11815	0	0	145	0	305	0	0	0	21	5	0	0	33	0	0	0	0	528	0	0	0	0	4	23	0	59	0	0	4	9	0	0	37	587	0	23	16	0	0	508	0	22	0	0	0	0	18	0	0	0	0	0	119	0	0	0	0	1063	66	0	79	14	60	0	67	0	92	0	37	0	0	63	8	73	299	183	0	18	0	0	0	5	188	0	141	0	155	118	8	172	0	18	304	18	0	0	494	0	0	170	347	12	0	158	532	0	521	10	0
19LIB028-19MET505	37	180	0	8	0	0	0	39	0	0	5	0	0	73	163	0	21	0	750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	53	0	0	0	0	0	14	0	10	13	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	15	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	599	0	0	478	0	0	0	0	0	0	216	1021	0	153	7	0	21	0	102	86	0	77	11	16	22	0	0	0	0	0	0	0	0	0	0	0	0	2619	86	0	0	0	322	0	0	0	0	39	30	0	0	0	0	168	204	1701	214	0	66	0	1691	7807	97	0	179	56	695	0	0	0	219	0	0	0	0	0	0	0	0	677	5	0	0	0	0	55	0	243	12	0	61	11	0	0	0	523	0	48	0	0	0	383	0	139	13	0	0	0	24	0	0	0	0	8	387	0	0	0	0	339	28	0	466	10	0	0	88	0	135	0	0	0	0	38	15	0	137	38	0	68	0	0	0	7	456	0	0	0	218	99	0	190	0	26	1956	22	0	0	61	0	0	142	201	13	22	16	305	0	27	22	0
19LIB028-19MET508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	0	0	459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	21	0	0	0	0	0	0	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	284	508	0	0	265	0	0	0	0	0	0	0	84	0	191	0	0	0	0	158	123	1368	154	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	620	0	0	0	0	6	0	0	0	0	46	14	0	0	0	0	162	49	684	295	53	12289	40	371	10950	0	0	188	0	229	0	0	0	48	0	0	0	0	0	0	0	0	719	0	0	0	0	0	5	0	38	16	0	23	0	0	0	0	474	0	0	0	0	0	586	0	0	0	0	0	0	6	0	0	0	0	0	104	0	0	0	0	509	126	0	0	0	60	0	41	0	20	0	175	0	0	182	4	0	439	32	0	0	0	0	0	0	106	0	137	0	254	86	0	26	0	27	206	0	0	0	160	0	0	435	105	0	0	216	173	0	149	0	0
19LIB028-19MET516	0	0	0	0	0	0	0	34	0	0	0	0	0	288	477	0	7	0	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	38	0	0	0	0	0	9	0	20	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	1019	0	0	0	0	0	444	0	0	0	0	556	572	0	0	254	0	0	0	0	0	0	1718	157	0	1087	16	0	170	0	357	0	283	110	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	1006	17	0	0	0	1293	0	0	0	19	72	45	0	0	0	17	112	13	5	10	9	20	0	466	6477	0	0	45	0	998	0	0	0	0	12	0	0	38	0	0	0	0	932	0	0	0	0	0	0	0	118	0	0	19	13	0	0	0	0	0	0	49	0	0	1008	0	124	0	0	0	0	4	0	0	0	0	0	26	14	0	0	0	504	97	0	0	0	0	0	12	0	146	0	0	0	0	4	0	0	263	0	0	4	0	0	0	0	25	0	320	0	0	79	0	161	0	14	115	0	0	0	35	0	0	274	343	226	61	18	1276	0	230	0	0
19LIB028-19MET523	12	0	10	6	0	0	0	15	0	11	125	0	0	227	229	0	20	0	1435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	14	0	0	0	0	0	0	0	11	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	16	0	7	0	489	246	0	0	0	0	0	0	0	0	0	0	15	130	0	0	392	0	0	0	0	0	0	153	652	0	189	0	0	28	0	262	0	121	138	8	44	18	0	0	0	0	0	0	0	0	20	0	0	0	2146	51	0	0	0	794	0	0	0	20	588	0	0	0	0	192	254	79	26	260	13	215	30	372	8957	10	0	141	0	557	0	0	0	155	10	0	0	119	0	0	0	0	2304	12	0	0	0	0	62	0	53	0	0	14	11	0	0	23	521	0	69	23	0	0	813	0	0	0	50	0	0	0	0	0	0	0	19	447	0	0	0	0	451	44	0	71	21	0	0	54	0	608	0	0	0	0	67	5	43	374	168	0	39	0	0	0	0	106	0	18	0	28	106	9	447	0	56	254	62	0	0	126	0	0	145	191	29	19	97	298	0	193	0	0
19LIB028-19MET525	18	0	15	0	0	0	0	22	0	14	206	0	0	192	54	0	16	0	2325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	7	0	11	36	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	818	142	0	0	0	0	0	0	0	0	0	0	8	116	0	0	399	0	0	0	0	0	0	184	707	0	128	15	0	20	0	269	144	6	108	6	0	17	0	0	0	0	0	0	0	0	51	0	0	0	2513	98	0	0	0	1071	0	0	0	0	468	22	0	0	0	0	29	148	96	40	0	45	20	637	10810	13	0	209	7	428	0	0	0	374	0	0	0	100	0	0	0	0	1308	29	0	0	0	7	96	0	58	16	0	17	6	0	0	9	899	0	56	0	0	0	676	0	0	10	142	0	0	42	0	0	0	0	12	460	22	0	0	0	518	31	0	0	97	0	0	30	0	189	0	0	0	0	33	0	15	103	0	0	54	0	0	0	6	57	0	19	0	42	68	29	384	0	53	174	23	0	0	30	0	0	86	209	6	45	65	350	0	120	11	0
19LIB028-19MET526	41	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	393	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	4344	0	0	0	0	0	0	1429	0	0	0	712	39	311	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	471	1306	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	844	46	21	346	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	21	0	0	0	645	0	0	196	76	0	0	212	11	0	37	0	0
19LIB028-19MET527	0	45	13	0	0	0	0	8	0	0	53	0	0	20	21	0	13	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	124	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1078	0	0	0	0	7199	8	0	0	0	0	0	40	0	0	0	191	110	397	0	0	657	0	0	0	0	0	0	43	240	0	446	5	0	0	0	124	271	150	315	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	303	14	0	0	0	1104	0	0	0	70	15	0	0	0	0	57	77	68	23	323	8	1127	294	193	10972	0	0	23	0	698	0	0	0	19	0	0	0	13	0	0	0	0	593	0	0	0	0	0	11	0	92	0	0	9	0	0	0	0	1060	0	30	0	0	0	195	0	15	0	0	0	0	38	0	0	0	0	0	230	0	0	0	0	556	210	0	36	0	0	0	49	0	155	0	0	0	0	97	0	89	407	280	0	18	0	0	0	0	107	0	286	0	83	252	15	7	0	29	131	50	0	0	1389	0	0	118	189	0	0	320	320	0	418	0	0
19LIB028-19MET497	0	0	0	49	0	23	0	9	49	23	27	31	0	808	420	27	7	0	2309	0	8	0	0	0	0	0	0	0	9	6	0	0	7	0	6	25	0	0	0	0	4	0	18	5	0	0	0	13	0	0	68	0	0	0	0	0	0	0	0	0	21	282	26	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	19	392	0	0	236	25	0	0	0	0	0	112	772	0	643	17	0	0	29	779	0	0	457	17	0	0	0	0	0	0	0	0	0	0	77	0	0	0	3955	7	26	0	18	127	12	0	24	0	2234	89	0	0	0	3	63	0	52	96	232	366	0	1340	4649	52	0	62	0	461	0	0	0	40	0	0	0	187	6	0	0	7	1487	28	0	0	0	0	64	0	142	0	0	70	26	4	0	171	492	0	132	0	0	0	537	0	23	0	48	0	0	17	0	0	0	0	0	413	15	0	9	0	275	0	4	0	3	18	0	32	0	170	0	0	30	0	12	0	0	101	0	0	42	0	0	0	0	224	0	85	37	36	51	107	150	9	17	189	43	0	14	33	42	0	151	449	21	53	0	548	0	102	0	20
