EDE	Lot_x_Time	Lot	Time	Vache	velage	DIM	semlact	Date	RACE	SEVRAGE	S3	SEXE VEAU	Acetate	propionate	iso_butyrate	butyrate	iso_valerate	Valerate	caproate	VFA_totaux	VFAt_Acetate	VFAt_propionate	VFAt_isobutyrate	VFAt_butyrate	VFAt_isovalerate	VFAt_valerate	VFAt_caproate	igG_Matin 	igG_soir	Lacto_Matin	Lacto_soir	id
9751	temoin_10	T	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	50.3905	20.0285	0.3150	3.5750	0.2630	0.6605	0.0385	75.2710	0.6694544	0.26608521	0.0041848786	0.0041848786	0.003494042	0.98662437	0.144690491	NA	NA	NA	NA	19LIB028-19MET490
9774	temoin_10	T	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	54.8230	11.3580	0.4505	10.3640	0.8415	0.7160	0.0475	78.6005	0.6974892	0.14450290	0.0057315157	0.0057315157	0.010706039	1.02653919	0.328713132	NA	NA	NA	NA	19LIB028-19MET500
2342	temoin_13	T	13	5651	05/05/2019	81	11.571429	25/07/2019	Ho	09/07/2019	28/05/2019	MF	50.3500	12.0350	0.2300	7.4715	0.2475	0.5355	0.0735	70.9430	0.7097247	0.16964323	0.0032420394	0.0032420394	0.003488716	0.75451790	0.433262194	280	250	160.000	174.000	19LIB028-19MET529
9721	temoin_13	T	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	79.5010	19.6475	0.5605	12.5000	0.7445	0.8345	0.1290	113.9170	0.6978853	0.17247206	0.0049202490	0.0049202490	0.006535460	1.19575523	0.747947220	345	NA	645.000	NA	19LIB028-19MET502
9741	temoin_13	T	13	6728	17/03/2019	88	12.571429	13/06/2019	Mo	28/05/2019	16/04/2019	MF	67.7965	22.4970	0.6785	6.7385	0.7245	0.8330	0.0170	99.2850	0.6828474	0.22659012	0.0068338621	0.0068338621	0.007297175	1.21989196	0.075025337	NA	420	NA	627.000	19LIB028-19MET510
9743	temoin_13	T	13	7641	18/03/2019	87	12.428571	13/06/2019	Mo	28/05/2019	16/04/2019	F	48.5180	17.7930	0.8375	9.7595	1.2240	3.1085	1.1510	82.3915	0.5888714	0.21595674	0.0101648835	0.0101648835	0.014855901	5.27874145	5.329771062	360	360	323.000	298.000	19LIB028-19MET511
9745	temoin_13	T	13	3647	23/03/2019	82	11.714286	13/06/2019	Mo	28/05/2019	16/04/2019	MF	45.8120	10.6965	0.4570	6.0185	0.4965	0.2840	0.0510	63.8155	0.7178820	0.16761602	0.0071612696	0.0071612696	0.007780241	0.39560818	0.304266863	400	460	526.000	534.000	19LIB028-19MET512
9746	temoin_13	T	13	3613	28/03/2019	91	13.000000	27/06/2019	Mo	11/06/2019	30/04/2019	MF	51.7830	11.3375	0.3615	8.9510	0.4935	0.4995	0.0760	73.5020	0.7045114	0.15424750	0.0049182335	0.0049182335	0.006714103	0.70900197	0.492714620	255	229	425.000	432.000	19LIB028-19MET517
9749	temoin_13	T	13	4180	01/04/2019	101	14.428571	11/07/2019	Ho	25/06/2019	30/04/2019	F	52.0270	14.1320	0.3390	5.2640	0.6510	0.4185	0.0205	72.8520	0.7141465	0.19398232	0.0046532696	0.0046532696	0.008935925	0.58601422	0.105679734	285	NA	274.000	NA	19LIB028-19MET518
9751	temoin_13	T	13	3154	05/04/2019	97	13.857143	11/07/2019	Ho	25/06/2019	30/04/2019	MF	24.6485	7.3390	0.1700	2.6860	0.2465	0.2255	0.0050	35.3205	0.6978525	0.20778302	0.0048130689	0.0048130689	0.006978950	0.32313418	0.024063565	329	331	274.000	139.000	19LIB028-19MET520
9774	temoin_13	T	13	5699	02/05/2019	84	12.000000	25/07/2019	Ho	09/07/2019	28/05/2019	MF	77.0900	17.4595	0.5805	10.5830	0.8940	0.7230	0.0945	107.4245	0.7176203	0.16252810	0.0054037952	0.0054037952	0.008322124	1.00749661	0.581437913	505	445	618.000	558.000	19LIB028-19MET528
9722	NA	M	7	6614	12/02/2019	51	7.285714	04/04/2019	Ho	30/04/2019	19/03/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	555	670	78.029	106.315	
9727	NA	M	7	4168	26/02/2019	51	7.285714	18/04/2019	Ho	14/05/2019	02/04/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	550	NA	36.478	48.262	
9728	NA	M	7	6742	27/02/2019	50	7.142857	18/04/2019	Ho	14/05/2019	02/04/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	200	NA	3.620	23.531	
