id	Name	Animal	Lot	Time_cat	Time_num	Lot_x_Time	Localisation	MockAndDuplicates	EDE_vache	Race	Sexe	Date_naissance	Date_reelle_passage_parc_mere	S3	Date_sevrage_reel	Acetate	propionate	iso_butyrate	butyrate	iso_valerate	Valerate	caproate	VFA totaux	VFAt_Acetate	VFAt_propionate	VFAt_isobutyrate	VFAt_butyrate	VFAt_isovalerate	VFAt_valerate	VFAt_caproate	velage	DIM	igG_Matin	Lactoferrin_Matin	igG_soir	Lactoferrin_soir
19LIB028-19MET464	9755M-3sem	9755	mere	3	3	mere_3	rumen	no	5611	Ho	F	09-avr-19	15-avr-19	14-mai-19	25-juin-19	24,83	3,69	0,26	0,64	0,26	0,11	0	29,793	0,833266203	0,123988856	0,008693317	0,008693317	0,008827577	0,126010151	0,032260964	09/04/2019	23	570	9	200	68
19LIB028-19MET465	9756P-3sem	9756	panache	3	3	panache_3	rumen	no	4165	Ho	F	11-avr-19	17-avr-19	14-mai-19	25-juin-19	26,07	2,65	0,14	1,04	0,28	0,09	0,02	14,331	0,80964343	0,103447073	0,002651594	0,002651594	0,005303189	0,067931138	0,096667791	11/04/2019	21	795	3	530	11
19LIB028-19MET466	9757P-3sem	9757	panache	3	3	panache_3	rumen	no	5722	Ho	F	11-avr-19	17-avr-19	14-mai-19	09-juil-19	11,6	1,48	0,04	1,07	0,08	0,06	0,01	70,286	0,819814757	0,131512677	0,001216458	0,001216458	0,002020317	0,248226808	0,053226808	11/04/2019	21	630	24		82
19LIB028-19MET467	9759M-3sem	9759	mere	3	3	mere_3	rumen	no	3161	Ho	F	14-avr-19	21-avr-19	14-mai-19	25-juin-19	42,42	5,9	0,4	1,43	0,53	0,13	0,01	50,803	0,83489164	0,116105348	0,007853867	0,007853867	0,010442297	0,149720028	0,043064338	14/04/2019	18	685	124	580	109
19LIB028-19MET468	9763P-3sem	9763	panache	3	3	panache_3	rumen	no	4633	Mo	F	18-avr-19	23-avr-19	14-mai-19	09-juil-19	57,62	9,24	0,09	2,98	0,14	0,2	0,01	62,373	0,712135058	0,152525933	0,00764754	0,00764754	0,010854055	0,762495813	0,393375729	18/04/2019	14	925	81	NA	62
19LIB028-19MET469	9764M-3sem	9764	mere	3	3	mere_3	rumen	no	2604	Mo	F	19-avr-19	24-avr-19	14-mai-19	25-juin-19	38,37	5,5	0,32	1,27	0,43	0,15	0,02	46,0705	0,832821437	0,119479928	0,0070327	0,0070327	0,009300963	0,184913588	0,142283314	18/04/2019	14	515	73	545	82
19LIB028-19MET470	9769M-3sem	9769	mere	3	3	mere_3	rumen	no	5635	Ho	M-Fem	22-avr-19	28-avr-19	28-mai-19	09-juil-19	23,52	4,03	0,19	1	0,38	0,11	0,01	29,2355	0,804432967	0,137794804	0,006652871	0,006652871	0,012963691	0,139228506	0,061685925	21/04/2019	25	500	41	515	54
19LIB028-19MET471	9770M-3sem	9770	mere	3	3	mere_3	rumen	no	2646	Mo	F	22-avr-19	28-avr-19	28-mai-19	09-juil-19	30,7	4,32	0,26	1,05	0,42	0,1	0	36,8515	0,833154688	0,117105138	0,00708248	0,00708248	0,011478502	0,12002573	0,029887672	22/04/2019	24	560	262	545	176
19LIB028-19MET472	9774T-3sem	9774	temoin	3	3	temoin_3	rumen	no	5699	Ho	M-Fem	26-avr-19	04-mai-19	28-mai-19	09-juil-19	35,42	6,58	0,35	2	0,5	0,3	0,05	45,2015	0,783690807	0,145592514	0,00784266	0,00784266	0,010973087	0,377061971	0,319384554	02/05/2019	14	505	23	440	34
19LIB028-19MET473	2342T-3sem	2342	temoin	3	3	temoin_3	rumen	no	5651	Ho	M-Fem	05-mai-19	16-mai-19	28-mai-19	09-juil-19	25,38	3,62	0,19	0,71	0,29	0,11	0	30,293	0,837784307	0,119549071	0,00622256	0,00622256	0,009688707	0,125927401	0	05/05/2019	11	540	27	465	16
19LIB028-19MET474	9721T-10sem	9721	temoin	10	10	temoin_10	rumen	no	6722	Ho	F	12-févr-19	21-févr-19	19-mars-19	30-avr-19	32,38	8,34	0,41	3,98	0,5	0,4	0,09	39,187	0,721438232	0,185763136	0,005754459	0,005754459	0,007502488	0,379103834	0,032299196	NA	NA	NA	NA	NA	NA
19LIB028-19MET475	9722M-10sem	9722	mere	10	10	mere_10	rumen	no	6614	Ho	F	12-févr-19	18-févr-19	19-mars-19	30-avr-19	12,23	5,22	0,42	1,09	0,46	0,3	0,01	19,725	0,619847909	0,264816223	0,021343473	0,021343473	0,023067174	0,484796344	0,047202546	NA	NA	NA	NA	NA	NA
19LIB028-19MET476	9725P-10sem	9725	panache	10	10	panache_10	rumen	no	5690	Ho	F	22-févr-19	01-mars-19	19-mars-19	14-mai-19	89,23	15,93	0,42	7,65	0,87	0,39	0,1	114,595	0,77869017	0,139028753	0,003647629	0,003647629	0,007591954	0,502125255	0,690504645	NA	NA	NA	NA	NA	NA
19LIB028-19MET477	9727M-10sem	9727	mere	10	10	mere_10	rumen	no	4168	Ho	F	27-févr-19	04-mars-19	02-avr-19	14-mai-19	34,78	7,16	0,52	2,29	1,01	0,2	0,01	45,964	0,756690018	0,155697938	0,011247933	0,011247933	0,02196284	0,262987479	0,057804234	NA	NA	NA	NA	NA	NA
19LIB028-19MET478	9728M-10sem	9728	mere	10	10	mere_10	rumen	no	6742	Ho	F	27-févr-19	05-mars-19	02-avr-19	14-mai-19	33,3	5,67	0,28	1,78	0,42	0,14	0,03	41,6115	0,800235512	0,136212345	0,006704877	0,006704877	0,010117395	0,172449233	0,227585833	NA	NA	NA	NA	NA	NA
19LIB028-19MET479	9732P-10sem	9732	panache	10	10	panache_10	rumen	no	6718	Ho	F	04-mars-19	10-mars-19	02-avr-19	11-juin-19	60,67	11,68	0,55	6,44	1,01	0,33	0,1	80,777	0,751111084	0,144626564	0,00676554	0,00676554	0,012553078	0,432692324	0,687978729	NA	NA	NA	NA	NA	NA
19LIB028-19MET480	9740P-10sem	9740	panache	10	10	panache_10	rumen	no	7639	Mo	F	15-mars-19	20-mars-19	16-avr-19	28-mai-19	40,55	8,7	0,29	2,34	0,34	0,19	0	52,4035	0,773707863	0,166019445	0,005457651	0,005457651	0,006545364	0,248155679	0	NA	NA	NA	NA	NA	NA
19LIB028-19MET481	9741T-10sem	9741	temoin	10	10	temoin_10	rumen	no	6728	Mo	M - Fem	18-mars-19	27-mars-19	16-avr-19	28-mai-19	28,27	7,28	0,23	2,84	0,29	0,27	0,01	29,0755	0,632095751	0,222575708	0,014032433	0,014032433	0,026413991	1,726795345	0,846902843	NA	NA	NA	NA	NA	NA
19LIB028-19MET482	9743T-10sem	9743	temoin	10	10	temoin_10	rumen	no	7641	Mo	F	19-mars-19	27-mars-19	16-avr-19	SORTIE	18,38	6,47	0,41	1,77	0,77	1,09	0,19	70,654	0,726151386	0,175085629	0,007083817	0,007083817	0,008577009	0,954346454	0,565437614	NA	NA	NA	NA	NA	NA
19LIB028-19MET483	9745T-10sem	9745	temoin	10	10	temoin_10	rumen	no	3647	Mo	M - Fem	24-mars-19	02-avr-19	16-avr-19	28-mai-19	51,31	12,37	0,5	5,08	0,61	0,69	0,1	74,9675	0,700203421	0,189442092	0,013279088	0,013279088	0,0206156	0,784057865	0,292965515	NA	NA	NA	NA	NA	NA
19LIB028-19MET484	9744P-10sem	9744	panache	10	10	panache_10	rumen	no	5704	Mo	M - Fem	21-mars-19	28-mars-19	16-avr-19	28-mai-19	50,6	13,89	0,51	9,7	0,72	0,7	0,16	76,276	0,663400021	0,18208873	0,006627248	0,006627248	0,009491845	1,052909222	0,856725178	NA	NA	NA	NA	NA	NA
19LIB028-19MET485	9748P-10sem	9748	panache	10	10	panache_10	rumen	no	7622	Mo	F	31-mars-19	06-avr-09	30-avr-19	09-juil-19	54,74	12,49	0,42	8,39	0,59	0,53	0,05	77,2055	0,709055702	0,161756611	0,005427074	0,005427074	0,007596609	0,75170399	0,290559995	NA	NA	NA	NA	NA	NA
19LIB028-19MET486	9747M-10sem	9747	mere	10	10	mere_10	rumen	no	7628	Mo	F	31-mars-19	06-avr-19	30-avr-19	11-juin-19	38,75	10	0,39	2,63	0,46	0,24	0	52,4625	0,73853705	0,190669526	0,007367167	0,007367167	0,008777698	0,320904686	0	NA	NA	NA	NA	NA	NA
19LIB028-19MET487	9746T-10sem	9746	temoin	10	10	temoin_10	rumen	no	3613	Mo	M - Fem	29-mars-19	07-avr-19	30-avr-19	11-juin-19	52,49	14,2	1	5,13	1,55	0,55	0,06	60,1925	0,689188852	0,189118246	0,004311168	0,004311168	0,004543755	0,929353395	0,224727127	NA	NA	NA	NA	NA	NA
