id	Name	Animal	Lot	Time_cat	Time_num	Lot_x_Time	Localisation	MockAndDuplicates	"EDE
vache"	Race	Sexe	Date_naissance	Date_mini_passage_parc_mère	"Date réelle
passage parc mère"	"Date de séparation => ♂ 
S3 => ♀"	"Date de vente
possible"	"Date de vente
réelle"	Date sevrage prévue (♀)	Date sevrage réelle(♀)	Acetate	propionate	iso_butyrate	butyrate	iso_valerate	Valerate	caproate	Total_VFA	Acetate%	Propionate%	Isobutyrate%	Butyrate%	Isovalerate%	Valerate%	Caproate%
19LIB028-19MET462	9750P-3sem	9750	panache	3	3	panache_3	rumen	no	6640	Ho	F	03-avr-19	09-avr-19	09-avr-19	30-avr-19	-	-	11-juin-19	11-juin-19	20.4625	9.975	0.376	1.7015	0.4265	0.4555	0.0145	33.4115	0.612438830941442	0.298549900483367	0.0112536102838843	0.0112536102838843	0.0127650659204166	0.0136330305433758	0.00043398231147958
19LIB028-19MET463	9751T-3sem	9751	temoin	3	3	temoin_3	rumen	no	3154	Ho	M - Fem	06-avr-19	12-avr-19	12-avr-19	30-avr-19	-		11-juin-19	25-juin-19	23.6235	5.325	0.328	0.7975	0.623	0.172	0.0285	30.8975	0.764576422040618	0.172344040779998	0.0106157456104863	0.0106157456104863	0.0201634436443078	0.00556679342988915	0.0009224047253014
19LIB028-19MET464	9755M-3sem	9755	mere	3	3	mere_3	rumen	no	5611	Ho	F	09-avr-19	15-avr-19	15-avr-19	14-mai-19	-	-	25-juin-19	25-juin-19	24.8255	3.694	0.259	0.6425	0.263	0.105	0.004	29.793	0.833266203470614	0.123988856442789	0.00869331722216628	0.00869331722216628	0.00882757694760514	0.00352431779277011	0.000134259725438861
19LIB028-19MET465	9756P-3sem	9756	panache	3	3	panache_3	rumen	no	4165	Ho	F	11-avr-19	17-avr-19	17-avr-19	14-mai-19	-	-	25-juin-19	25-juin-19	26.0655	2.649	0.135	1.0395	0.277	0.087	0.02	30.273	0.861014765632742	0.0875037161827371	0.00445941928451095	0.00445941928451095	0.00915006771710765	0.0028738479833515	0.000660654708816437
19LIB028-19MET466	9757P-3sem	9757	panache	3	3	panache_3	rumen	no	4165	Ho	F	11-avr-19	17-avr-19	17-avr-19	14-mai-19	-	-	25-juin-19	25-juin-19	11.603	1.4825	0.038	1.0665	0.076	0.055	0.01	14.331	0.809643430325867	0.10344707277929	0.00265159444560742	0.00265159444560742	0.00530318889121485	0.00383783406601075	0.000697788012001954
19LIB028-19MET467	9759M-3sem	9759	mere	3	3	mere_3	rumen	no	3161	Ho	F	14-avr-19	20-avr-19	21-avr-19	14-mai-19	-	-	25-juin-19	25-juin-19	42.415	5.8985	0.399	1.43	0.5305	0.125	0.005	50.803	0.834891640257465	0.116105348109364	0.00785386689762416	0.00785386689762416	0.0104422967147609	0.00246048461705017	0.000098419384682007
19LIB028-19MET468	9763P-3sem	9763	panache	3	3	panache_3	rumen	no	3161	Ho	F	14-avr-19	20-avr-19	21-avr-19	14-mai-19	-	-	25-juin-19	25-juin-19	57.6215	9.2435	0.0855	2.983	0.142	0.2035	0.007	70.286	0.819814756850582	0.131512676777737	0.00121645846968102	0.00121645846968102	0.00202031699058134	0.00289531343368523	0.0000995930910849956
19LIB028-19MET469	9764M-3sem	9764	mere	3	3	mere_3	rumen	no	2604	Mo	F	19-avr-19	24-avr-19	24-avr-19	14-mai-19	-	-	25-juin-19	25-juin-19	38.3685	5.5045	0.324	1.274	0.4285	0.154	0.017	46.0705	0.832821436711127	0.119479927502415	0.00703269988387363	0.00703269988387363	0.00930096265506126	0.00334270303122388	0.000368999685264974
19LIB028-19MET470	9769M-3sem	9769	mere	3	3	mere_3	rumen	no	2604	Mo	F	19-avr-19	24-avr-19	24-avr-19	14-mai-19	-	-	25-juin-19	25-juin-19	23.518	4.0285	0.1945	0.995	0.379	0.112	0.0085	29.2355	0.804432966769852	0.137794804261942	0.00665287065382839	0.00665287065382839	0.0129636914025756	0.00383095893690889	0.000290742419318979
19LIB028-19MET471	9770M-3sem	9770	mere	3	3	mere_3	rumen	no	2646	Mo	F	22-avr-19	28-avr-19	28-avr-19	28-mai-19	-	-	09-juil-19	09-juil-19	30.703	4.3155	0.261	1.0455	0.423	0.1	0.0035	36.8515	0.833154688411598	0.117105138189762	0.00708247968196681	0.00708247968196681	0.0114785015535324	0.00271359374788	0.0000949757811758001
