id	Euryarchaeota	Thermoplasmatota	Planctomycetota	Elusimicrobiota	Patescibacteria	Verrucomicrobiota	Cyanobacteria	Chloroflexi	Synergistota	Fibrobacterota	Armatimonadota	Deinococcota	Actinobacteriota	Desulfobacterota	d__Bacteria Kingdom	Campylobacterota	Proteobacteria	WPS-2	Firmicutes	Bdellovibrionota	Fusobacteriota	Bacteroidota	Spirochaetota
19LIB028-19MET519	0	33	22	8	121	1751	230	17	7	1934	0	0	15	11	0	19	601	0	8965	0	0	20338	1105
19LIB028-19MET521	0	17	37	7	114	629	322	0	26	2776	0	0	32	8	5	26	1494	0	10398	0	0	20040	1003
19LIB028-19MET522	0	53	12	44	35	921	213	138	26	2128	0	0	67	36	6	19	2575	0	8844	0	0	21782	1259
19LIB028-19MET524	0	89	11	0	4	1565	90	19	6	1668	0	0	111	0	7	8	212	0	7711	0	0	22677	1168
19LIB028-19MET552	0	94	22	0	174	1244	0	36	30	1274	0	0	0	51	0	0	100	0	7897	0	0	14660	327
19LIB028-19MET555	0	78	20	20	85	1470	0	39	15	1298	0	0	0	33	0	0	183	0	6469	0	0	14463	238
19LIB028-19MET556	0	89	5	16	167	1157	0	0	12	1360	0	0	0	27	0	0	1203	0	6355	0	0	9541	147
19LIB028-19MET560	0	32	4	12	60	1058	0	25	12	1565	0	0	0	30	0	0	85	0	7173	0	0	10930	387
19LIB028-19MET562	0	76	13	21	60	1332	0	0	11	1627	0	0	0	20	0	0	142	0	6403	0	0	10821	296
19LIB028-19MET564	0	38	13	0	83	1249	0	36	14	1476	0	0	0	23	0	0	174	0	6569	0	0	10216	346
19LIB028-19MET565	0	73	11	23	57	1132	0	42	19	1593	0	0	0	15	0	0	103	0	6138	0	0	11148	263
19LIB028-19MET567	0	84	5	29	130	731	0	33	22	1459	0	0	0	33	0	0	118	0	5294	0	0	8314	273
19LIB028-19MET448	0	116	20	0	0	275	0	0	41	438	0	0	14	298	0	0	3432	0	3753	0	471	11765	401
19LIB028-19MET450	101	138	193	0	905	1504	34	0	42	253	4	0	16	277	0	127	884	0	8137	94	134	13914	646
19LIB028-19MET451	79	70	60	0	0	172	96	0	11	181	8	0	13	727	0	16	4895	0	9084	0	54	15180	1563
19LIB028-19MET459	0	0	21	0	14	114	5	0	34	191	10	0	8	513	0	13	534	0	4291	45	14	13345	359
19LIB028-19MET464	0	10	0	0	0	494	0	0	22	237	0	0	0	878	0	482	5679	0	5861	0	718	17280	649
19LIB028-19MET467	0	59	17	57	602	162	0	0	23	166	0	0	13	113	0	16	1711	0	7526	17	12	11761	333
19LIB028-19MET469	0	128	48	10	6	1162	69	0	0	86	0	0	21	296	0	189	4648	0	6812	0	22	11139	388
19LIB028-19MET470	0	75	17	52	47	80	0	0	17	434	0	0	135	252	0	95	592	0	6867	0	44	20771	510
19LIB028-19MET471	63	130	60	0	12	285	65	0	15	643	0	0	0	130	0	511	708	0	7710	7	145	15142	994
19LIB028-19MET475	0	0	0	0	0	0	0	0	10	11	0	0	5	18	0	35	2084	0	4892	0	419	3165	5
19LIB028-19MET477	110	125	79	147	767	276	82	0	17	869	8	0	0	88	0	22	401	5	9831	0	0	9906	354
19LIB028-19MET478	76	57	0	129	394	236	341	20	10	338	0	0	31	50	0	19	2064	0	6825	0	10	6951	242
19LIB028-19MET486	140	23	6	82	659	82	0	0	14	448	0	0	11	33	0	0	5109	8	7429	0	0	9849	265
19LIB028-19MET491	0	27	0	0	1037	0	85	0	8	1642	0	0	95	10	0	0	3597	0	9199	0	703	17984	235
19LIB028-19MET494	0	18	0	47	693	114	334	0	12	426	4	0	0	50	0	19	6409	0	9998	0	8	10644	236
19LIB028-19MET496	0	49	14	39	394	100	87	22	12	478	4	0	20	34	0	12	10820	8	7511	0	36	13016	429
19LIB028-19MET498	0	29	6	60	537	194	182	30	15	439	0	0	8	73	0	11	3613	0	7271	0	4	11110	197
19LIB028-19MET499	62	18	0	9	244	7	16	0	5	209	0	0	10	29	0	28	4461	0	6916	0	8	21173	46
19LIB028-19MET503	240	82	124	0	0	10	10	0	9	76	0	0	163	11	0	18	266	0	12034	0	0	18658	1267
19LIB028-19MET504	0	0	14	13	132	88	264	0	8	1070	0	0	40	16	0	10	7468	0	9800	0	0	17911	528
19LIB028-19MET505	217	8	39	0	5	73	163	0	21	750	0	0	84	63	0	13	299	0	9861	0	0	16193	682
19LIB028-19MET508	0	0	0	0	0	0	251	0	0	459	0	0	19	21	0	6	17	0	8123	0	0	26044	719
19LIB028-19MET516	0	0	34	0	0	305	477	0	7	314	0	0	10	58	0	40	1126	0	11306	0	0	10674	932
19LIB028-19MET523	12	16	15	11	125	247	229	0	20	1435	0	0	107	25	0	22	794	0	8384	0	0	14989	2316
19LIB028-19MET525	18	15	22	14	206	243	54	0	16	2325	0	0	0	52	0	36	986	0	7502	0	0	17128	1337
19LIB028-19MET526	41	11	0	0	0	0	0	0	0	0	0	0	291	393	0	7	4441	0	5936	0	0	1417	0
19LIB028-19MET527	45	13	8	0	53	20	21	0	13	205	0	0	130	136	0	7	8285	0	10284	0	0	15401	593
19LIB028-19MET551	0	51	17	48	136	930	26	23	20	774	0	0	0	30	0	0	337	0	7695	0	0	10357	344
19LIB028-19MET553	0	39	0	18	324	903	27	0	9	1033	0	0	0	12	0	0	594	0	6609	0	0	13593	572
19LIB028-19MET554	84	76	13	31	162	1040	14	0	20	780	0	0	0	30	0	0	150	0	6681	0	0	9604	383
19LIB028-19MET559	40	64	8	0	55	1286	14	27	27	700	0	0	0	33	0	0	21	0	5798	0	0	10914	275
19LIB028-19MET563	97	73	12	31	33	1430	19	54	30	169	0	0	0	27	0	0	117	0	5959	0	0	10705	275
19LIB028-19MET566	66	77	14	30	77	907	0	33	28	582	0	0	0	9	0	0	202	0	6260	0	0	9736	337
19LIB028-19MET568	73	74	5	59	132	734	24	34	22	872	0	0	0	52	0	0	75	0	7939	0	0	10562	281
19LIB028-19MET569	0	61	12	22	66	1633	0	27	18	904	0	0	0	50	0	0	121	0	8645	0	0	10763	236
19LIB028-19MET447	0	21	32	7	0	223	0	0	70	141	0	0	9	444	0	30	3694	0	7957	0	152	13117	71
19LIB028-19MET454	0	20	49	24	0	239	231	0	38	1094	0	0	10	1035	0	174	983	0	7156	0	53	19916	676
19LIB028-19MET455	0	0	0	0	0	0	0	0	0	0	0	0	37	579	0	27	704	0	12952	0	16	2256	0
19LIB028-19MET456	0	0	0	44	0	0	0	0	12	3032	0	0	6	1022	0	486	1591	0	7647	0	53	13723	1998
19LIB028-19MET460	0	35	12	10	0	17	0	0	26	9	0	0	0	389	0	163	477	0	9627	0	38	7680	173
19LIB028-19MET461	0	31	78	0	0	529	213	0	18	117	0	0	20	595	0	78	2562	0	5454	0	0	14252	169
19LIB028-19MET463	0	81	66	0	0	21	0	0	29	417	0	0	24	782	0	0	6694	0	8629	0	16	16993	2719
19LIB028-19MET472	0	33	32	0	0	126	80	0	36	173	0	0	65	705	0	96	2861	0	12452	0	28	18042	327
19LIB028-19MET473	0	13	0	31	0	145	0	0	22	164	0	0	15	1848	0	328	2402	0	8437	0	39	18345	395
19LIB028-19MET474	0	107	0	0	0	0	6	0	24	504	0	0	0	102	0	11	5696	0	8853	0	3	12782	43
19LIB028-19MET481	0	74	35	0	6	407	44	0	6	344	0	0	5	468	0	6	1053	0	11616	0	0	22029	176
19LIB028-19MET482	0	0	0	0	0	0	0	0	0	0	0	0	0	627	0	0	987	0	11018	0	0	477	0
19LIB028-19MET483	0	18	27	0	9	551	0	9	28	0	0	0	0	172	0	10	1706	0	10499	0	0	11450	214
19LIB028-19MET487	0	38	71	0	11	232	36	0	0	307	0	0	0	153	0	9	3811	0	9554	0	0	13206	583
19LIB028-19MET488	0	10	11	0	0	266	13	0	0	624	0	0	7	226	0	13	7166	0	7341	0	15	28225	351
19LIB028-19MET490	0	61	21	0	0	453	373	32	22	95	0	0	0	25	0	40	10973	0	6963	0	10	20491	441
19LIB028-19MET500	0	31	25	0	0	467	125	26	27	85	0	0	8	36	0	17	6138	0	5537	0	0	13513	323
19LIB028-19MET501	0	18	8	0	173	163	71	19	20	118	0	0	0	143	0	25	1992	0	6955	0	8	4898	269
19LIB028-19MET502	0	0	17	0	2	28	205	0	0	33	0	2	0	74	0	3	896	0	9554	0	0	8192	767
19LIB028-19MET510	0	13	0	0	0	133	54	0	0	913	0	0	0	102	0	12	8507	0	6267	0	0	14661	470
19LIB028-19MET511	0	49	17	0	6	97	85	21	10	2737	0	0	13	5	0	13	8228	0	8482	0	0	18016	1354
19LIB028-19MET512	0	24	75	0	0	612	143	0	10	841	0	5	17	53	0	0	271	0	9405	0	0	22620	581
19LIB028-19MET517	0	16	43	0	0	264	489	29	45	240	0	19	224	88	0	22	5229	0	8609	0	0	11836	536
19LIB028-19MET518	0	0	43	0	4	359	179	22	12	267	0	5	107	64	0	14	6214	0	10443	0	0	16578	852
19LIB028-19MET520	0	0	0	0	3	0	0	0	10	0	0	0	24	305	0	70	2092	0	1868	0	0	2159	0
19LIB028-19MET528	0	32	33	0	19	1360	396	20	36	528	0	5	39	78	0	35	530	0	8622	0	0	13601	1243
19LIB028-19MET529	0	47	10	0	0	405	352	24	16	731	0	0	298	22	0	9	791	0	10391	0	0	15843	2166
19LIB028-19MET550	0	123	39	48	139	2234	71	33	20	1696	0	0	47	13	62	0	171	0	8355	4	0	17599	612
19LIB028-19MET557	0	101	34	72	156	1252	102	38	32	1233	0	0	5	66	86	0	144	0	10187	0	0	17820	507
19LIB028-19MET558	0	43	71	24	157	1284	120	18	32	1662	0	6	39	44	0	0	157	0	9016	25	0	12253	299
19LIB028-19MET561	0	86	67	77	101	1527	176	33	35	1361	0	31	5	31	96	0	227	0	8898	18	0	13401	516
